Index,Model,Percentile,CVE_MUN,Scenario,TimeAggregate,Year
1,1,10,30115,1,2,1977
1,1,10,30117,1,2,1978
1,1,10,30118,1,2,1983
1,1,10,30121,1,2,1993
1,1,10,30122,1,2,1996
1,1,10,30124,1,2,2017
1,1,10,30126,1,2,2023
1,1,10,30128,1,2,2029
1,1,10,30130,1,2,2061
1,1,90,30132,1,2,1990
1,1,90,30133,1,2,1994
1,1,90,30134,1,2,1995
1,1,90,30135,1,2,2000
1,1,90,30138,1,2,2002
1,1,90,30139,1,2,2003
1,1,90,30140,1,2,2006
1,1,90,30142,1,2,2007
1,1,90,30143,1,2,2008
1,1,90,30144,1,2,2011
1,1,90,30145,1,2,2012
1,1,90,30148,1,2,2018
1,1,90,30149,1,2,2024
1,1,90,30151,1,2,2026
1,1,90,30152,1,2,2027
1,1,90,30153,1,2,2028
1,1,90,30155,1,2,2030
1,1,90,30158,1,2,2033
1,1,90,30159,1,2,2036
1,1,90,30161,1,2,2038
1,1,90,30163,1,2,2040
1,1,90,30164,1,2,2044
1,1,90,30165,1,2,2045
1,1,90,30167,1,2,2049
1,1,90,30168,1,2,2052
1,1,90,30169,1,2,2053
1,1,90,30173,1,2,2054
1,1,90,30175,1,2,2055
1,1,90,30176,1,2,2056
1,1,90,30177,1,2,2057
1,1,90,30178,1,2,2059
1,1,90,30181,1,2,2060
1,1,90,30182,1,2,2062
1,1,90,30185,1,2,2063
1,1,90,30186,1,2,2064
1,1,90,30187,1,2,2065
1,1,90,30189,1,2,2066
1,1,90,30190,1,2,2067
1,1,90,30191,1,2,2068
1,1,90,30193,1,2,2069
1,1,90,30195,1,2,2070
1,1,90,30196,1,2,2071
1,1,90,30198,1,2,2072
1,1,90,30199,1,2,2073
1,1,90,30200,1,2,2075
1,1,90,30202,1,2,2076
1,1,90,30203,1,2,2077
1,1,90,30204,1,2,2078
1,1,90,30207,1,2,2079
1,1,90,30210,1,2,2080
1,1,90,30211,1,2,2081
1,1,90,30212,1,2,2082
1,1,90,30003,1,2,2083
1,1,90,30005,1,2,2084
1,1,90,30009,1,2,2088
1,1,90,30013,1,2,2089
1,1,90,30016,1,2,2090
1,1,90,30020,1,2,2091
1,1,90,30023,1,2,2092
1,1,90,30024,1,2,2093
1,1,90,30028,1,2,2094
1,1,90,30033,1,2,2095
1,1,90,30103,1,2,2096
1,1,90,30104,1,2,2097
1,1,90,30108,1,2,2098
1,1,90,30110,1,2,2099
1,1,90,30112,1,2,2100
1,1,10,30116,1,2,1972
1,1,10,30119,1,2,1973
1,1,10,30120,1,2,1977
1,1,10,30123,1,2,1978
1,1,10,30125,1,2,1983
1,1,10,30127,1,2,1993
1,1,10,30129,1,2,2023
1,1,10,30131,1,2,2029
1,1,90,30136,1,2,1990
1,1,90,30137,1,2,1994
1,1,90,30141,1,2,1995
1,1,90,30146,1,2,2002
1,1,90,30147,1,2,2003
1,1,90,30150,1,2,2006
1,1,90,30154,1,2,2007
1,1,90,30156,1,2,2008
1,1,90,30157,1,2,2011
1,1,90,30160,1,2,2018
1,1,90,30162,1,2,2026
1,1,90,30166,1,2,2027
1,1,90,30170,1,2,2033
1,1,90,30171,1,2,2038
1,1,90,30172,1,2,2044
1,1,90,30174,1,2,2045
1,1,90,30179,1,2,2049
1,1,90,30180,1,2,2054
1,1,90,30183,1,2,2055
1,1,90,30184,1,2,2056
1,1,90,30188,1,2,2057
1,1,90,30192,1,2,2059
1,1,90,30194,1,2,2060
1,1,90,30197,1,2,2062
1,1,90,30201,1,2,2063
1,1,90,30205,1,2,2064
1,1,90,30206,1,2,2065
1,1,90,30209,1,2,2066
1,1,90,30036,1,2,2068
1,1,90,30037,1,2,2069
1,1,90,30038,1,2,2070
1,1,90,30042,1,2,2071
1,1,90,30047,1,2,2072
1,1,90,30048,1,2,2073
1,1,90,30051,1,2,2075
1,1,90,30055,1,2,2076
1,1,90,30059,1,2,2077
1,1,90,30060,1,2,2078
1,1,90,30063,1,2,2080
1,1,90,30066,1,2,2081
1,1,90,30070,1,2,2082
1,1,90,30074,1,2,2083
1,1,90,30075,1,2,2084
1,1,90,30076,1,2,2088
1,1,90,30080,1,2,2089
1,1,90,30085,1,2,2090
1,1,90,30088,1,2,2091
1,1,90,30090,1,2,2092
1,1,90,30092,1,2,2093
1,1,90,30094,1,2,2094
1,1,90,30098,1,2,2095
1,1,90,30099,1,2,2096
1,1,90,30100,1,2,2097
1,1,90,30208,1,2,2098
1,1,90,30045,1,2,2099
1,1,90,31048,1,2,2100
1,1,10,31045,1,2,1972
1,1,10,31044,1,2,1973
1,1,10,31021,1,2,1977
1,1,10,31023,1,2,1978
1,1,10,31069,1,2,1980
1,1,10,31068,1,2,1983
1,1,10,31067,1,2,1993
1,1,10,31066,1,2,2023
1,1,10,31065,1,2,2029
1,1,90,31064,1,2,1990
1,1,90,31063,1,2,1995
1,1,90,31061,1,2,2000
1,1,90,31060,1,2,2003
1,1,90,31058,1,2,2006
